"id","state","year","region","state_calamity","calamity","dcb","rcl","juros","amortizacao","primario","dbp","rec_cor","desp_cor","investimentos","desp_total","rec_previdenciarias","inativos","rec_tributaria","obrig_fin","disp_caixa_bruta","stn_end","stn_sdrcl","stn_rpsd","stn_dprcl","stn_cgpp","stn_pidt","stn_pcrdp","stn_rtdc","capag_idc","capag_pc","capag_il"
"al2011","al",2011,"nordeste",FALSE,FALSE,7830583038.44,4801098985,184515297.27,498591655.28,470488731.86,2305026007.42,6309604687.53,4727877410.55,557594386.63,5792812514.02,438688901.07,282761972.58,2624164983.19,327115333.18,1012980687.81,1.63099804084543,0.14228137238666,0.688748270096933,0.48010382927358,0.334553360764064,0.0962562460429174,1.55144235650671,0.502091364195851,1.63099804084543,0.749314361943142,0.322923563219357
"al2012","al",2012,"nordeste",FALSE,FALSE,8178422543.19,5051891183.67,263638829.24,503606944.97,338749672.58,2502846112.02,6658181503.9,5289462306.28,746087159.71,6547016410.96,448398477.32,292345034.46,2833709217.54,497241451.63,1005195063.51,1.61888335394602,0.151872981090742,0.441513898110154,0.495427557923324,0.258763389994285,0.113958345737612,1.53379884884397,0.489155073871861,1.61888335394602,0.794430476727275,0.494671601244939
"al2013","al",2013,"nordeste",FALSE,FALSE,9035401985.72,5465256409.34,277288342.96,413965506.71,338749672.58,2703871231.81,7227856883.69,5754320114.07,837334246.32,7092907991.05,12374814.02,247810865.63,3203360394.32,419254063.03,1387466845.1,1.65324393019854,0.126481503866619,0.490051046719981,0.494738220733641,0.256074869039181,0.118052320342597,0.0499365271516242,0.519327507067503,1.65324393019854,0.796130887297298,0.30217231100739
"al2014","al",2014,"nordeste",FALSE,FALSE,9703158277.34,5969712767.26,246133464.97,438332381.96,-278940261.91,3095552617.73,7873960755.59,6433807635.18,1268867351.06,8154687440.53,17903865.41,440077333.6,3466657848.27,558982320.51,959825152.52,1.62539784670303,0.114656412061205,-0.407529847049516,0.518542974916163,0.223841495125726,0.155599752941301,0.0406834527548592,0.504450991921543,1.62539784670303,0.817099276321947,0.582379320902775
"al2015","al",2015,"nordeste",FALSE,FALSE,11252027857.87,6328523887.74,257574120.62,567228373.23,733320008.79,3437463460.44,8414642815.01,6903171338.08,519189062.95,8028587777.46,309069554.97,700958961.83,3752716368.24,864134139.12,1345359387.22,1.77798615561334,0.13033094422664,0.889085586255954,0.543169864160466,0.218953203231718,0.0646675451948855,0.440923893979627,0.502344789202977,1.77798615561334,0.820376038513026,0.642307287798849
"al2016","al",2016,"nordeste",FALSE,FALSE,9223989752.57,7645675622.78,136739753.51,295992817.29,1127084183.19,4243626183.13,10358251944.87,9135466125,586331659.66,10022201702.83,1765473678.17,1667643830.42,4425734384.73,473341394.57,2001858543.01,1.20643226415302,0.0565983429261228,2.60457441672657,0.555036126629055,0.13385040272042,0.0585032787251164,1.05866351433409,0.469252361889136,1.20643226415302,0.881950562085372,0.236450970136123
"am2008","am",2008,"norte",FALSE,FALSE,2225427303.86,6395995269.73,107572169.06,144992614.81,158393029.05,2484405618.17,8567719425.84,6361811155.94,1265917703.75,7784046437.05,571110921.31,297472487.34,4952960505.98,261678492.73,1451209844.47,0.347940736352975,0.0394879566383203,0.627138220233934,0.388431434577167,0.346742180147921,0.162629772829279,1.91987812525748,0.761197153085362,0.347940736352975,0.742532620378879,0.180317473539168
"am2009","am",2009,"norte",FALSE,FALSE,2778228818.91,6161490863.11,119389294.04,155684091.46,-931786346.84,2865985782.54,8302362353.56,6785162971.65,1703007437.4,8686970064.25,424650534.74,333447802.62,4642084686.99,324639319.59,1349461399.02,0.450902043131116,0.0446439654965515,-3.38741003658458,0.465144856368967,0.22360544444536,0.19604159157961,1.27351426941006,0.668806652096151,0.450902043131116,0.817256906251576,0.240569548581203
"am2010","am",2010,"norte",FALSE,FALSE,3188516693.33,7407732260.79,154811368.18,162569638.57,-322386639.140001,3130069688.57,10066126581.66,7778802887.27,1696249385.75,9750686645.77,484972221.59,366303535.49,5961007797.27,155274248.16,1073910848.33,0.430430876964492,0.0428445569543509,-1.01577168224797,0.422540877339456,0.29404571982833,0.173962044661322,1.32396271016401,0.750626894516509,0.430430876964492,0.7727702233988,0.14458765213282
"am2011","am",2011,"norte",FALSE,FALSE,3302189902.21,8515351762.08,186640034.3,248860733.87,96191483.76,4023162526.21,11413660498.11,8752721952.52,1532369050,10616815145.76,472324786.05,579986484.62,6405568967.5,151260529.48,1448617145.83,0.387792541573572,0.0511430156190779,0.220875577703806,0.472459933378875,0.304012689997983,0.144334155673039,0.814372056203105,0.711604746705814,0.387792541573572,0.766863702838311,0.104417188430649
"am2012","am",2012,"norte",FALSE,FALSE,3877973077.53,9655316018.77,181216608.94,340911439.83,18807321.4,4406265878.89,13077243676.11,10297952643.81,1490749635.41,12159258984.53,462827686.89,885717990.96,7178537706.94,342838893.79,2073819263.26,0.401641237841537,0.0540767436047644,0.0360205153588382,0.456356464182445,0.269887727049376,0.122602013601869,0.522545202438935,0.674746631830634,0.401641237841537,0.787471190326039,0.165317633924889
"am2013","am",2013,"norte",FALSE,FALSE,4667462531.74,10329762485.05,194420109.9,370177794.57,-391734832.68,4881118605.67,14170239484.36,11710026046.71,2406378401.77,14569525924.39,550160492.08,1043978612.89,8082887123.78,251397935.38,2020789600.71,0.451846065047004,0.054657394619395,-0.693829767306221,0.472529606826325,0.210094617026169,0.165165182055898,0.526984447082699,0.669101881887082,0.451846065047004,0.826381661342746,0.124405794295295
"am2014","am",2014,"norte",FALSE,FALSE,5430452428.74,11039956264.46,257205088.76,331090070.94,-837084547.85,5486745593.99,15096528957.61,13003760039.2,2214697283.73,15565294328.96,658348305.78,1147810010.43,8555228646.28,322724509.27,1883839726.7,0.491890755602157,0.0532878161477731,-1.42289892080171,0.496989794393753,0.160935676458295,0.142284317721474,0.57356905742037,0.641569164678836,0.491890755602157,0.861374165923415,0.171312083876334
"am2015","am",2015,"norte",FALSE,FALSE,6906913511.12,10998994388.61,326649103.54,389289254.66,5586732.54,5787299990.92,14952470634.89,13191276824.88,845143539.67,14477492379.54,708742399.25,1246324234.08,8195047837.4,422845340.32,1218061312.09,0.627958635770598,0.0650912558825732,0.00780337088523385,0.526166282702447,0.133512004439799,0.0583763760680255,0.568666146312378,0.603439340407641,0.627958635770598,0.882213859300252,0.347146187242795
"am2016","am",2016,"norte",FALSE,FALSE,6286692182.2,11395630934,344510444.08,402079430.97,425026056.73,5979660192.06,15858552196.23,13661674717.2,829596003.24,14997260040.99,881978645.17,1388221665.36,7965905939.35,336720047.93,1454802126.29,0.551675656978591,0.0655154488043724,0.569289875115887,0.524732700338609,0.160805869302695,0.0553165045463356,0.635329837574089,0.566413907369572,0.551675656978591,0.861470489118656,0.231454190123227
"ap2008","ap",2008,"norte",FALSE,FALSE,247217357,2404878240,6806710.42,25957400.3,505414412,968498332,2807983706.53,1971501905.08,239520972.61,2250035108.79,137031196,40399583.39,450276635.57,53820110,156813255,0.102798284290684,0.0136240206156965,15.4258547201003,0.402722398120247,0.424286580344977,0.106452104535741,3.39189626479958,0.225424685427741,0.102798284290684,0.702105892030373,0.343211484258776
"ap2009","ap",2009,"norte",FALSE,FALSE,406722717,2237966613,10969225.99,30056316.45,333388749.25,975703157,2694377619.31,2091076402.41,260643551.29,2384328187.39,53696420,46448088.73,470843014.55,117136886.01,290392190.93,0.181737616029395,0.0183316150480928,8.12637029083972,0.435977530376142,0.288512278271939,0.109315300078431,1.15605230415689,0.221977158884737,0.181737616029395,0.77608884048907,0.403374779586398
"ap2010","ap",2010,"norte",FALSE,FALSE,664348906,2492365269,21495110.98,39042188.71,1174443001.96,1095882520,2973787778.53,2317897868.78,239857006.03,2607093308.24,24392903,20780399.22,556877038.55,220837664,295874624,0.26655358837774,0.0242890961621725,19.4003202649292,0.43969579163639,0.282967562369441,0.092001696015983,1.17384188541109,0.236271192718851,0.26655358837774,0.779442933189328,0.746389335504487
"ap2011","ap",2011,"norte",FALSE,FALSE,663760405,2897410914.61,26309453.53,111070616.66,734437257.82,1268029709,3580437970.39,2490528051.89,316036973.66,2956670132.31,79489851,38054626.91,622470163.76,198688941,514634309,0.229087424794679,0.0474147693367448,5.34602476767012,0.43764234565627,0.437622020628475,0.106889493760701,2.08883537836267,0.239264484289936,0.229087424794679,0.695593129244666,0.38607791498798
